"from","to","strength","direction"
"CBLB","LGALS9",0.71,0.545
"HMGB1","TNFRSF14",0.81,0.726666666666667
"GFI1","HSPA1A",0.74,0.556666666666667
"ACOD1","BMP6",0.7,0.947916666666667
"ACOD1","MIF",0.7,0.833333333333333
"HCK","MYD88",0.74,0.845833333333333
"MAPK1","MAPK14",0.7,0.825
"APP","TLR3",0.72,0.73
"PTPRC","TYROBP",0.73,0.693333333333333
"B2M","HLA-A",0.72,0.690833333333333
"HLA-DOB","HLA-DQB1",0.7,0.778333333333333
"HLA-DQA2","LNPEP",0.74,0.670416666666667
"DDX3X","HSPA1A",0.82,0.808333333333333
"HSPA1A","HMGB1",0.72,0.534166666666667
"OASL","RSAD2",0.72,0.6875
"PTPN22","TIRAP",0.76,0.743333333333333
"SLC46A2","TASL",0.83,0.7675
"C3","EXOSC3",0.77,0.767916666666667
"CD40","KMT5C",0.72,0.755
"C17orf99","MLH1",0.73,0.7925
"ABL1","MAP3K5",0.72,0.825
"DBH","SEMA3C",0.79,0.820833333333333
"CCR3","GATA2",0.77,0.874166666666667
"HOXA5","NR4A3",0.76,0.779166666666667
"JAML","NCSTN",0.79,0.898333333333333
"CD274","TNFRSF14",0.7,0.584166666666667
"HLA-E","VSIR",0.75,0.751666666666667
"RASAL3","XCL1",0.76,0.784583333333333
"CHUK","IL12B",0.72,0.823333333333333
"EIF2AK2","IFI35",0.8,0.890833333333333
"PRDX1","RTKN2",0.7,0.788333333333333
"RHOA","TSPAN6",0.72,0.874166666666667
"IL13","HAVCR1",0.71,0.7625
"CCR7","IL23A",0.7,0.94
"FUT4","RHOH",0.71,0.803333333333333
"IL1A","TNFAIP6",0.73,0.848333333333333
"RAC2","RHOG",0.72,0.738333333333333
"TNFAIP6","IL23A",0.74,0.821666666666667
"IFI16","TREM2",0.7,0.623333333333333
"CCR2","CXCL8",0.77,0.8625
"CXCR2","IL15",0.7,0.855
"ADA","CD40",0.71,0.763333333333333
"BCL6","MIF",0.83,0.762083333333333
"CD38","IL21",0.71,0.749166666666667
"NCKAP1L","TLR4",0.72,0.688333333333333
"ADIPOQ","INPP5D",0.77,0.864583333333333
"HOXA7","LILRB3",0.72,0.926666666666667
"AKT1","ATF2",0.72,0.9
"PARP9","IRF7",0.83,0.6425
"CLEC12B","PIBF1",0.75,0.836666666666667
"HCLS1","IFNAR1",0.71,0.8025
"PARP14","STAT1",0.74,0.874166666666667
"CARD9","FGR",0.7,0.827916666666667
